"Accounts","Účty"
"Active","Aktivní"
"Additional Bank Account","Další bankovní účet"
"Bank Search","Bankovní vyhledávání"
"Bank/Card Name","Název banky/karty"
"Company Bank Account","Firemní bankovní účet"
"Company Name","Jméno společnosti"
"Country List","Seznam zemí"
"Default Bank Account","Výchozí bankovní účet"
"Email Settings","Nastavení e-mailu"
"Enabled","Povoleno"
"Extra Settings","Extra nastavení"
"Invoice After Payment","Faktura po zaplacení"
"List of Payments","Seznam plateb"
"New Order After Payment","Nová objednávka po zaplacení"
"New Order Before Payment","Nová objednávka před platbou"
"New Order Status","Stav nové objednávky"
"Order","Objednat"
"Payment from Applicable Countries","Platba z příslušných zemí"
"Payment initiation was cancelled. Please try again.","Zahájení platby bylo zrušeno. Prosím zkuste to znovu."
"Payment List Manual Update","Manuální aktualizace seznamu plateb"
"Payment methods","Platební metody"
"Please agree with kevin payment terms.","Souhlaste s platebními podmínkami kevin."
"Please select payment method.","Vyberte prosím způsob platby."
"Redirect Preferred","Preferováno přesměrování"
"Search for a bank...","Vyhledat banku..."
"Select bank country","Vyberte zemi banky"
"Send invoice email after payment","Po zaplacení zašlete fakturu e-mailem"
"Send order confirmation email after payment","Po zaplacení zašlete email s potvrzením objednávky"
"Send order confirmation email before payment","Před platbou zašlete e-mail s potvrzením objednávky"
"Show all available payment methods separately in checkout","Ukázat všechny dostupné platební metody samostatně v pokladně"
"Show country list on checkout page","Zobrazit seznam zemí na stránce pokladny"
"Show name below the payment logo","Zobrazit jméno pod logem platby"
"Show payment method search on checkout page","Zobrazit vyhledávání způsobu platby na stránce pokladny"
"Something went wrong, please try again later","Něco se pokazilo, zkuste to prosím znovu později"
"Sort Order","Pořadí řazení"
"Status","Postavení"
"Thank you for your payment. Your transaction has been completed and a receipt for your purchase has been emailed to you.","Děkujeme za Vaši platbu. Vaše transakce byla dokončena a potvrzení o nákupu vám bylo zasláno e-mailem."
"Title","Titul"
"Tpp can specify this param to skip all possible kevin. parts and make user payment confirm flow mostly on the bank side.","TPP může specifikovat tento parametr pro přeskočení všech možných kevin. obrazovky a provést potvrzení platby uživatelem většinou na straně banky."
"Unauthorized","Neoprávněný"
"Unfortunately, your order cannot be processed as the originating bank has declined your transaction. Please attempt your purchase again.","Vaši objednávku bohužel nelze zpracovat, protože původní banka vaši transakci odmítla. Zkuste nákup znovu."
"Version","Verze"
"We will start executing the order only after receiving the payment.","Objednávku začneme realizovat až po obdržení platby."
"Wrong payment request","Chybný požadavek na platbu"
"Your Endpoint Secret. You can get it in kevin. dashboard.","Váš Endpoint Secret z řídícího panelu kevin."
"Country","Země"
"Bank","Banka"
"Bank Account","Bankovní účet"
"Action","Akce"
"Update Now","Nyní aktualizovat"
"Last Update","Poslední aktualizace"
"Updated","Aktualizováno"
"Credit/Debit card","Kreditní/Debetní karta"
"Please select a payment method.","Vyberte prosím způsob platby."
"I have read and agree with the <a href=""%1"" target=""_blank"">payment terms</a> and <a href=""%2"" target=""_blank"">privacy policy</a> of Kevin EU, UAB","Přečetl jsem si a souhlasím s <a href=""%1"" target=""_blank""> platebními podmínkami </a> a <a href=""%2"" target=""_blank""> zásadami ochrany osobních údajů </a> kevin EU, UAB"
"Add","Přidat"